dates;months;v6
14/02/2009;0;176.34
14/03/2009;1;153.55
14/04/2009;2;143.63
14/08/2009;6;138.81
14/12/2009;10;135.53
14/11/2010;21;133.9
14/02/2011;24;125.88
14/08/2011;30;122.31
14/09/2011;31;116.96
14/12/2011;34;114.81
14/05/2012;39;109.46
14/08/2013;54;100.86
14/06/2015;76;93.55
14/10/2016;92;92.77
14/01/2017;95;92.47
14/02/2017;96;87.85
14/07/2017;101;80.03
14/02/2018;108;79.6
14/05/2018;111;79.46
14/06/2018;112;74.86
14/08/2018;114;73.82
14/02/2020;132;69.51
